"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
10, 9.701499938960000e-01, -4.256268552403566e-03, 2.111835569390058e+02, -1.355046209678270e+00, -3.153691814313084e-01, 8.432465596678889e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.275119198840766e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.998214775224608e+02, -1.277682960056729e+00, -3.014021806146699e-01, 7.888934423932544e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.071851109516045e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.902251921556897e+02, -1.211752244575771e+00, -2.890818225014883e-01, 7.435998637939038e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.144846081057761e-02
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.821085549390626e+02, -1.155264801515576e+00, -2.782299921951819e-01, 7.053868278602652e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.889389766083971e-02
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.751725138827299e+02, -1.106374229412612e+00, -2.685432092777773e-01, 6.729469889982291e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.872600122720160e-02
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.691900644112056e+02, -1.063728464757673e+00, -2.596260603423595e-01, 6.451849045385734e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.054718432955797e-02
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.640987031710363e+02, -1.026571980577130e+00, -2.517995703770507e-01, 6.211983320263726e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.354536154712854e-02
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.595718053414207e+02, -9.934292309207849e-01, -2.441810142651387e-01, 6.005527766261597e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.803264977984990e-02
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.557997040489993e+02, -9.647128907588536e-01, -2.374876040932149e-01, 5.824730067874865e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.271194517749403e-02
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.524642350559958e+02, -9.390066613174236e-01, -2.309995922230815e-01, 5.671117434470516e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.826052137112496e-02
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.497415925254932e+02, -9.169203879069636e-01, -2.249958671302386e-01, 5.538349961788538e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.398426903943272e-02
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.475343951754148e+02, -8.981036727395814e-01, -2.194489877114027e-01, 5.429932313242062e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.042110397337958e-02
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.456882051115525e+02, -8.823700610764028e-01, -2.137754917734695e-01, 5.342357590671389e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.837740801453081e-02
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.443698436348965e+02, -8.704671938242496e-01, -2.089860696251996e-01, 5.271765657166598e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.723831033285458e-02
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.429115203033876e+02, -8.596438318883698e-01, -2.032285377526322e-01, 5.214456763343412e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.770568636811139e-02
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.422981454901430e+02, -8.556798743514991e-01, -1.985617727362724e-01, 5.180564729645581e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.776113518306379e-02
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.420497800186095e+02, -8.567039653975841e-01, -1.942267407148519e-01, 5.178135992069346e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.739164736922892e-02
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.424312233930906e+02, -8.613894763657360e-01, -1.918756588986743e-01, 5.188365675141086e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.545398331352642e-02
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.428772406278251e+02, -8.659956472333165e-01, -1.896919710543762e-01, 5.210913606491080e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.276019432238583e-02
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.437072105344545e+02, -8.717204504970947e-01, -1.873007352451897e-01, 5.241461544892792e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.976011212771790e-02
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.449160181932731e+02, -8.782443275714990e-01, -1.850688821674518e-01, 5.280220951518910e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.756006048595813e-02
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.460189103048621e+02, -8.843666497235135e-01, -1.819387249149971e-01, 5.323750049357957e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.653621527071356e-02
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.476691306890820e+02, -8.922329301676378e-01, -1.795993153799824e-01, 5.370631999081786e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.483185666686161e-02
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.490774622662387e+02, -8.988985703487752e-01, -1.763692963464620e-01, 5.423370744314192e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.432059390864784e-02
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.509367813930865e+02, -9.071583615541868e-01, -1.737574941963953e-01, 5.476014535488928e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.308135174213358e-02
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.526088149947290e+02, -9.145683351019338e-01, -1.703301611246629e-01, 5.536243613228571e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.269211856419218e-02
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.546944369526362e+02, -9.234629053254475e-01, -1.674800520448419e-01, 5.595986894891211e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.164522861991881e-02
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.566176138537321e+02, -9.316374572633279e-01, -1.638305804645477e-01, 5.663516102881735e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.123784056281036e-02
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.589805413336876e+02, -9.414174358947253e-01, -1.607245186563014e-01, 5.731920750309822e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.024674565041028e-02
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.611850952878426e+02, -9.505004404371669e-01, -1.568189117536558e-01, 5.808033413358634e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.002041376907533e-02
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.638127421234990e+02, -9.611338836310118e-01, -1.533934376014079e-01, 5.884989004453479e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.199978324953359e-03
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.662927369039974e+02, -9.711312180857457e-01, -1.491599834735040e-01, 5.969719073886643e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.069534332928684e-03
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.691926477402181e+02, -9.826665081596380e-01, -1.453317846177175e-01, 6.055684768960398e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.365000424358168e-03
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.719679943330461e+02, -9.936503232003900e-01, -1.407108520304957e-01, 6.149453318309225e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.290450264975248e-03
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.751402895279572e+02, -1.006109020903783e+00, -1.363612336116694e-01, 6.245039272147911e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.634511969588326e-03
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.782443806734245e+02, -1.018189395241579e+00, -1.313059126352305e-01, 6.348152050446732e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.499439947121021e-03
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.816672004323611e+02, -1.031507200893861e+00, -1.262862507630823e-01, 6.453839452988679e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.949689676611177e-03
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.851251624950566e+02, -1.044789351666878e+00, -1.207150109797486e-01, 6.566403373383226e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.608069567600531e-03
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.888188863716126e+02, -1.058960677221574e+00, -1.149459171717515e-01, 6.682244096015220e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.903302608371250e-03
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.926307620207365e+02, -1.073573108409359e+00, -1.086826323182583e-01, 6.805832899842625e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.100772823713576e-03
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.967007826493015e+02, -1.089061167771179e+00, -1.020905412099645e-01, 6.935218193919498e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.066230011629065e-03
51, 4.645099937920000e-01, -5.497835513414191e-02, 2.009651075508846e+02, -1.105079230103228e+00, -9.510744332105388e-02, 7.071270695643139e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.232942415131506e-03
52, 4.487800002100000e-01, -5.581859897363720e-02, 2.052725987849297e+02, -1.121241151858472e+00, -8.743201391108497e-02, 7.210869924095699e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.216191703152143e-03
53, 4.331099987030000e-01, -5.659141825851464e-02, 2.096677614069415e+02, -1.137512675386243e+00, -7.946806326667825e-02, 7.349160924967089e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.545246179793046e-03
54, 4.174999892710000e-01, -5.729416860686566e-02, 2.136927611433386e+02, -1.152447692085222e+00, -7.056979305573831e-02, 7.482039712419235e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.264168940661938e-02
55, 4.019699990750000e-01, -5.792324246601335e-02, 2.175864708664273e+02, -1.166842854970236e+00, -6.124509098269718e-02, 7.604351559475010e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.850396682241709e-02
56, 3.865399956700000e-01, -5.847520956655861e-02, 2.211810851341449e+02, -1.180171051278663e+00, -5.101998868100303e-02, 7.722617643437772e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.491338929842372e-02
57, 3.712300062180000e-01, -5.894684318665333e-02, 2.253386266142310e+02, -1.195470609134620e+00, -4.056527099026598e-02, 7.851222891872764e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.851551086653191e-02
